age,gendar,stage,martial status ,location,college,do you support feminism,are a membet from womens organization?,does feminism affect divorce and family problems?
21,نێر,3,سەڵت,دەرەوەی شار,ئەندازیاری,نەخێر,نەخێر,بەڵێ
20,نێر,2,سەڵت,سلێمانی,Science,نەخێر,نەخێر,بەڵێ
21,مێ,3,خێزاندار,سلێمانی,پەروەردەی بنەڕەت,نەخێر,نەخێر,بەڵێ
21,نێر,2,سەڵت,سلێمانی,Computer ,نەخێر,نەخێر,بەڵێ
21+,نێر,3,سەڵت,دەرەوەی شار,زانست,نەخێر,نەخێر,بەڵێ
21+,نێر,1,سەڵت,سلێمانی,هونەرە جوانەکان,نەخێر,نەخێر,بەڵێ
19,نێر,1,سەڵت,دەرەوەی شار,CS,نەخێر,نەخێر,بەڵێ
21,نێر,3,سەڵت,سلێمانی,ئەندازیاری,نەخێر,نەخێر,بەڵێ
20,مێ,3,سەڵت,دەرەوەی شار,Languge,نەخێر,نەخێر,بەڵێ
21+,نێر,2,سەڵت,سلێمانی,Computer Science ,نەخێر,نەخێر,بەڵێ
20,مێ,1,سەڵت,دەرەوەی شار,Mls,نەخێر,نەخێر,بەڵێ
20,مێ,3,سەڵت,دەرەوەی شار,English-language ,نەخێر,نەخێر,بەڵێ
21,مێ,3,سەڵت,سلێمانی,پەروەردەی بنەرەتی هونەر,نەخێر,نەخێر,نەخێر
21+,مێ,3,سەڵت,دەرەوەی شار,پەروەردەی بنەڕەت,نەخێر,نەخێر,بەڵێ
21+,مێ,4,خێزاندار,سلێمانی,science ,بەڵێ,نەخێر,نەخێر
21+,مێ,3,سەڵت,سلێمانی,زمان,نەخێر,نەخێر,بەڵێ
20,نێر,2,سەڵت,سلێمانی,کۆلێژی زانست,نەخێر,نەخێر,بەڵێ
21,نێر,3,سەڵت,سلێمانی,ئەندازیاری,نەخێر,نەخێر,بەڵێ
20,مێ,2,سەڵت,سلێمانی,,بەڵێ,نەخێر,بەڵێ
20,مێ,2,سەڵت,سلێمانی,زانست,بەڵێ,نەخێر,نەخێر
19,نێر,2,سەڵت,سلێمانی,زانست-كۆمپیوتەر,نەخێر,نەخێر,بەڵێ
21+,مێ,,سەڵت,سلێمانی,,بەڵێ,نەخێر,نەخێر
21+,مێ,2,سەڵت,سلێمانی,Science,نەخێر,نەخێر,بەڵێ
21+,مێ,2,سەڵت,سلێمانی,هونه‌ر,نەخێر,نەخێر,بەڵێ
21,نێر,2,سەڵت,سلێمانی,هونەرە جوانەکان,نەخێر,نەخێر,بەڵێ
19,مێ,2,سەڵت,سلێمانی,بنە‌ڕە‌ت ,بەڵێ,بەڵێ,بەڵێ
19,نێر,1,سەڵت,دەرەوەی شار,,نەخێر,,نەخێر
21+,نێر,3,سەڵت,سلێمانی,Business,نەخێر,نەخێر,بەڵێ
21+,مێ,2,سەڵت,سلێمانی,tishk international university,بەڵێ,نەخێر,نەخێر
21+,مێ,2,سەڵت,سلێمانی,English ,نەخێر,نەخێر,بەڵێ
19,مێ,2,سەڵت,دەرەوەی شار,زمانی ئینگلیزی,نەخێر,نەخێر,بەڵێ
20,نێر,2,سەڵت,سلێمانی,BA,بەڵێ,نەخێر,بەڵێ
21,نێر,2,سەڵت,سلێمانی,Business administration ,نەخێر,نەخێر,بەڵێ
21+,نێر,,سەڵت,سلێمانی,,نەخێر,نەخێر,بەڵێ
19,مێ,2,سەڵت,سلێمانی,کارگێڕی و ئابوری,بەڵێ,نەخێر,بەڵێ
20,مێ,2,سەڵت,سلێمانی,کارگێری و ئابوری,نەخێر,نەخێر,بەڵێ
19,مێ,2,خێزاندار,سلێمانی,,بەڵێ,نەخێر,نەخێر
20,مێ,2,سەڵت,سلێمانی,كارگێری و ئابووری,بەڵێ,نەخێر,نەخێر
21,مێ,2,سەڵت,سلێمانی,کارگیری و ئابوری,نەخێر,نەخێر,بەڵێ
19,مێ,2,سەڵت,سلێمانی,Kargere w abwre ,بەڵێ,نەخێر,بەڵێ
21,مێ,2,سەڵت,سلێمانی,کارگێری و ئابووری,نەخێر,نەخێر,بەڵێ
